年度,校名,系組名,國倍率,英倍率,數A倍率,數B倍率,社會倍率,自然倍率,數甲倍率,物倍率,化倍率,生倍率,歷倍率,地倍率,公倍率,錄取人數,普通生錄取分數
111.0,國立臺灣大學,生物環境系統工程學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,175
111.0,國立臺灣大學,農業化學系,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,1.5,0.0,0.0,0.0,12.0,266
111.0,國立臺灣大學,森林環境暨資源學系,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,2.0,0.0,0.0,0.0,27.0,195
111.0,國立臺灣大學,動物科學技術學系,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20.0,205
111.0,國立臺灣大學,農業經濟學系,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,255
111.0,國立臺灣大學,園藝暨景觀學系,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,23.0,239.5
111.0,國立臺灣大學,獸醫學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,31.0,253
111.0,國立臺灣大學,生物產業傳播暨發展學系,1.5,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,20.0,337
111.0,國立臺灣大學,生物機電工程學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,33.0,226
111.0,國立臺灣大學,昆蟲學系,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13.0,187
111.0,國立臺灣大學,植物病理與微生物學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,22.0,220
111.0,國立臺灣大學,工商管理學系企業管理組A組,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0,233
111.0,國立臺灣大學,工商管理學系企業管理組B組,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.0,256
111.0,國立臺灣大學,工商管理學系科技管理組,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,221
111.0,國立臺灣大學,會計學系A組,1.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,16.0,200.5
111.0,國立臺灣大學,會計學系B組,1.25,1.5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,296.25
111.0,國立臺灣大學,財務金融學系A組,1.0,1.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,226.5
